City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tilichiki,RU,2021-01-10 03:47:09,60.4667,166.1,-18.83,86,25,11.95
1,Gold Coast,AU,2021-01-10 03:42:58,-28.0,153.4333,82.0,61,75,21.85
2,Troitsko-Pechorsk,RU,2021-01-10 03:47:10,62.7084,56.1964,-5.55,90,0,5.21
3,Ribeira Grande,PT,2021-01-10 03:44:00,38.5167,-28.7,59.81,73,100,16.26
4,Santa Marta,CO,2021-01-10 03:47:10,11.2408,-74.199,84.0,67,97,17.0
5,Luanda,AO,2021-01-10 03:42:21,-8.8368,13.2343,73.4,94,40,3.44
6,Novikovo,RU,2021-01-10 03:45:33,51.1537,37.8879,29.75,94,94,14.61
7,Cidreira,BR,2021-01-10 03:45:25,-30.1811,-50.2056,77.04,80,0,18.37
8,Ushuaia,AR,2021-01-10 03:44:39,-54.8,-68.3,44.6,87,40,19.57
9,Altay,CN,2021-01-10 03:45:07,47.8667,88.1167,-1.07,70,0,1.97
10,Hobart,AU,2021-01-10 03:46:35,-42.8794,147.3294,75.0,56,40,16.11
11,Pangobilian,PH,2021-01-10 03:47:12,8.8011,117.8594,83.73,73,77,18.34
12,Rikitea,PF,2021-01-10 03:43:38,-23.1203,-134.9692,78.76,76,100,14.65
13,Hithadhoo,MV,2021-01-10 03:44:16,-0.6,73.0833,81.36,72,100,10.71
14,Cabo San Lucas,MX,2021-01-10 03:45:16,22.8909,-109.9124,64.4,68,1,2.3
15,Najran,SA,2021-01-10 03:47:13,17.4924,44.1277,44.6,42,0,1.16
16,Butaritari,KI,2021-01-10 03:47:13,3.0707,172.7902,80.46,82,100,18.92
17,Braunfels,DE,2021-01-10 03:47:13,50.5155,8.3892,32.0,96,2,1.25
18,Chokurdakh,RU,2021-01-10 03:47:14,70.6333,147.9167,-24.27,87,100,3.85
19,Biak,ID,2021-01-10 03:47:14,-0.9131,122.8766,85.69,64,4,1.66
20,Beringovskiy,RU,2021-01-10 03:44:51,63.05,179.3167,-14.87,88,98,12.17
21,Andahuaylas,PE,2021-01-10 03:47:14,-13.6556,-73.3872,49.89,81,67,1.01
22,Kruisfontein,ZA,2021-01-10 03:44:47,-34.0033,24.7314,66.99,76,0,1.01
23,Port Alfred,ZA,2021-01-10 03:44:00,-33.5906,26.891,69.01,85,18,5.01
24,Atar,MR,2021-01-10 03:45:26,20.5169,-13.0499,57.36,49,0,15.86
25,Aguimes,ES,2021-01-10 03:47:15,27.9054,-15.4461,59.0,67,20,8.05
26,Kavieng,PG,2021-01-10 03:44:05,-2.5744,150.7967,85.55,69,98,6.98
27,Busselton,AU,2021-01-10 03:47:16,-33.65,115.3333,73.0,65,97,10.0
28,Bhatkal,IN,2021-01-10 03:46:49,13.9667,74.5667,81.34,74,55,3.65
29,Bethel,US,2021-01-10 03:44:21,41.3712,-73.414,30.2,47,1,10.36
30,Makakilo City,US,2021-01-10 03:47:17,21.3469,-158.0858,78.8,61,90,6.91
31,Qaanaaq,GL,2021-01-10 03:47:17,77.484,-69.3632,-1.32,77,0,5.82
32,Mataura,NZ,2021-01-10 03:47:18,-46.1927,168.8643,57.56,84,100,6.76
33,Avarua,CK,2021-01-10 03:47:18,-21.2078,-159.775,84.2,65,75,8.05
34,Hermanus,ZA,2021-01-10 03:47:18,-34.4187,19.2345,62.01,94,100,12.17
35,Pevek,RU,2021-01-10 03:44:07,69.7008,170.3133,-23.4,88,97,4.18
36,Jamestown,US,2021-01-10 03:47:19,42.097,-79.2353,28.99,93,1,5.75
37,Praia Da Vitoria,PT,2021-01-10 03:47:19,38.7333,-27.0667,57.0,87,40,8.86
38,Westport,US,2021-01-10 03:46:10,41.1415,-73.3579,33.8,37,1,12.66
39,Yinchuan,CN,2021-01-10 03:47:19,38.4681,106.2731,19.94,59,99,5.28
40,Namibe,AO,2021-01-10 03:47:20,-15.1961,12.1522,69.17,75,51,2.55
41,Nikolskoye,RU,2021-01-10 03:44:11,59.7035,30.7861,6.01,85,0,2.24
42,Aykhal,RU,2021-01-10 03:47:20,66.0,111.5,-32.33,81,97,6.76
43,Bambous Virieux,MU,2021-01-10 03:47:20,-20.3428,57.7575,81.0,83,75,8.05
44,Kapaa,US,2021-01-10 03:47:20,22.0752,-159.319,75.2,83,90,6.91
45,Lewisporte,CA,2021-01-10 03:47:21,49.2499,-55.0482,32.0,100,90,4.0
46,Severo-Kurilsk,RU,2021-01-10 03:44:36,50.6789,156.125,22.53,86,98,19.08
47,Sal Rei,CV,2021-01-10 03:47:21,16.1833,-22.9167,69.8,60,75,18.41
48,Bathsheba,BB,2021-01-10 03:47:22,13.2167,-59.5167,78.8,78,40,20.71
49,Sioux Lookout,CA,2021-01-10 03:47:22,50.1001,-91.917,21.2,93,90,6.91
50,Nelson,NZ,2021-01-10 03:47:22,-41.2833,173.2833,73.99,65,86,3.0
51,Lakes Entrance,AU,2021-01-10 03:47:22,-37.8811,147.981,86.0,61,0,5.99
52,Vaini,TO,2021-01-10 03:47:23,-21.2,-175.2,84.2,84,75,8.05
53,Yellowknife,CA,2021-01-10 03:43:23,62.456,-114.3525,9.0,85,1,8.05
54,Harper,LR,2021-01-10 03:45:21,4.375,-7.7169,78.1,89,16,8.23
55,Fairbanks,US,2021-01-10 03:45:02,64.8378,-147.7164,10.4,85,75,2.53
56,Prince Rupert,CA,2021-01-10 03:46:17,54.3161,-130.3201,42.8,87,90,14.97
57,Bull Savanna,JM,2021-01-10 03:47:24,17.8868,-77.5902,72.16,85,100,5.68
58,Punta Arenas,CL,2021-01-10 03:47:24,-53.15,-70.9167,42.8,87,90,14.97
59,Marathon,US,2021-01-10 03:43:54,44.9,-89.7668,19.4,93,90,8.05
60,Lasa,IT,2021-01-10 03:47:25,46.6166,10.7002,21.0,72,0,5.75
61,Makat,KZ,2021-01-10 03:47:25,47.6469,53.3463,24.24,92,89,8.55
62,Norman Wells,CA,2021-01-10 03:47:25,65.282,-126.8329,-4.0,84,1,2.3
63,Cape Town,ZA,2021-01-10 03:46:11,-33.9258,18.4232,66.0,72,75,19.57
64,Touros,BR,2021-01-10 03:47:26,-5.1989,-35.4608,78.8,78,40,6.91
65,Khatanga,RU,2021-01-10 03:43:52,71.9667,102.5,-31.05,84,22,6.98
66,Georgetown,MY,2021-01-10 03:44:23,5.4112,100.3354,87.01,58,20,11.5
67,Albany,US,2021-01-10 03:47:26,42.6001,-73.9662,26.01,57,83,8.01
